

=== 数据获取时间: 2025-10-16 15:41:21 ===


=== 数据获取时间: 2025-10-16 16:03:56 ===
标签: YJ.yj_qkc_5you:cumulativevalue, 值: 7892690, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_shihui:plcsetup, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_shihui:localocs, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_shihui:localocsreturn, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_shihui:valveswitch, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_shihui:valvecapacity, 值: 314, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_shihui:cumulativevalue, 值: 14924106, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_shihui:maxsetup, 值: 1100, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_shihui:minsetup, 值: 100, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_shihui:actualflow, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_shihui:onetime, 值: 50, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_shihui:cycle, 值: 269, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_yiliudan1:ocssetup, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkc_yiliudan2:ocssetup, 值: 1800, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_dinghuangyao:ocssetup, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_dinghuangyao:plcsetup, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_dinghuangyao:localocs, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_dinghuangyao:localocsreturn, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_dinghuangyao:valveswitch, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_dinghuangyao:valvecapacity, 值: 120, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_dinghuangyao:cumulativevalue, 值: 6931000, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_dinghuangyao:maxsetup, 值: 500, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_dinghuangyao:minsetup, 值: 50, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_dinghuangyao:actualflow, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_dinghuangyao:onetime, 值: 30, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_dinghuangyao:cycle, 值: 720, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_shihui:ocssetup, 值: 60, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_shihui:plcsetup, 值: 60, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_shihui:localocs, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_shihui:localocsreturn, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_shihui:valveswitch, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_shihui:valvecapacity, 值: 49, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_shihui:cumulativevalue, 值: 43205081, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_shihui:maxsetup, 值: 100, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_shihui:minsetup, 值: 10, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_shihui:actualflow, 值: 60, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_shihui:onetime, 值: 30, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_shihui:cycle, 值: 490, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_yiliudan:ocssetup, 值: 200, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_yiliudan:plcsetup, 值: 200, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_yiliudan:localocs, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_yiliudan:localocsreturn, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_yiliudan:valveswitch, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_yiliudan:valvecapacity, 值: 20, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_yiliudan:cumulativevalue, 值: 60137132, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_yiliudan:maxsetup, 值: 500, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_yiliudan:minsetup, 值: 100, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_yiliudan:actualflow, 值: 200, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_yiliudan:onetime, 值: 10, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj1_yiliudan:cycle, 值: 60, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_yiliudan:ocssetup, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_shihui:ocssetup, 值: 60, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_yiliudan:plcsetup, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_shihui:plcsetup, 值: 60, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_yiliudan:maxsetup, 值: 400, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_shihui:maxsetup, 值: 150, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_yiliudan:minsetup, 值: 50, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_shihui:minsetup, 值: 10, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_yiliudan:actualflow, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_shihui:actualflow, 值: 60, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_yiliudan:valvecapacity, 值: 20, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_shihui:valvecapacity, 值: 34, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_yiliudan:onetime, 值: 10, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_shihui:onetime, 值: 30, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_yiliudan:cycle, 值: 120, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_shihui:cycle, 值: 340, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_yiliudan:cumulativevalue, 值: 78917114, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_shihui:cumulativevalue, 值: 50211601, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_yiliudan:localocs, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_shihui:localocs, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_yiliudan:localocsreturn, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_shihui:localocsreturn, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_yiliudan:valveswitch, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_shihui:valveswitch, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_dinghuangyao:actualflow, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj2_dinghuangyao:cumulativevalue, 值: 29959560, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds1:ocssetup, 值: 300, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds2:ocssetup, 值: 300, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds1:plcsetup, 值: 300, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds2:plcsetup, 值: 300, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds1:localocs, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds2:localocs, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds1:localocsreturn, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds2:localocsreturn, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds1:valveswitch, 值: 1, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds2:valveswitch, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds1:valvecapacity, 值: 320, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds2:valvecapacity, 值: 300, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds1:cumulativevalue, 值: 86012710, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds2:cumulativevalue, 值: 89288680, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds1:maxsetup, 值: 600, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds2:maxsetup, 值: 600, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds1:minsetup, 值: 200, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds2:minsetup, 值: 200, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds1:actualflow, 值: 300, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds2:actualflow, 值: 300, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds1:onetime, 值: 30, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds2:onetime, 值: 30, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds1:cycle, 值: 640, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_ds2:cycle, 值: 600, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_dinghuangyao:ocssetup, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_dinghuangyao:plcsetup, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_dinghuangyao:localocs, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_dinghuangyao:localocsreturn, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_dinghuangyao:valveswitch, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_dinghuangyao:valvecapacity, 值: 50, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_dinghuangyao:cumulativevalue, 值: 4693702, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_dinghuangyao:maxsetup, 值: 200, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_dinghuangyao:minsetup, 值: 10, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_dinghuangyao:actualflow, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_dinghuangyao:onetime, 值: 10, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_dinghuangyao:cycle, 值: 300, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_shihui:ocssetup, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_shihui:plcsetup, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_shihui:localocs, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_shihui:localocsreturn, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_shihui:valveswitch, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_shihui:valvecapacity, 值: 40, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_shihui:cumulativevalue, 值: 35866525, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_shihui:maxsetup, 值: 100, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_shihui:minsetup, 值: 10, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_shihui:actualflow, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_shihui:onetime, 值: 30, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_shihui:cycle, 值: 800, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_yiliudan:ocssetup, 值: 0, 时间: 2025-10-16 16:03:59
标签: YJ.yj_qkj3_yiliudan:plcsetup, 值: 0, 时间: 2025-10-16 16:03:59


=== 数据获取时间: 2025-10-16 16:07:42 ===
标签: YJ.yj_qkc_dinghuangyao1:ocssetup, 值: 1500, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkc_dinghuangyao2:ocssetup, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkc_dinghuangyao1:plcsetup, 值: 1500, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkc_dinghuangyao2:plcsetup, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkc_dinghuangyao1:actualflow, 值: 1500, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkc_dinghuangyao2:actualflow, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkc_shihui:ocssetup, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkc_shihui:plcsetup, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkc_shihui:actualflow, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkc_yiliudan1:ocssetup, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkc_yiliudan2:ocssetup, 值: 1800, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj1_dinghuangyao:ocssetup, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj1_dinghuangyao:plcsetup, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj1_dinghuangyao:actualflow, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj1_shihui:ocssetup, 值: 60, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj1_shihui:plcsetup, 值: 60, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj1_shihui:actualflow, 值: 60, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj1_yiliudan:ocssetup, 值: 200, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj1_yiliudan:plcsetup, 值: 200, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj1_yiliudan:actualflow, 值: 200, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj2_yiliudan:ocssetup, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj2_shihui:ocssetup, 值: 60, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj2_yiliudan:plcsetup, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj2_shihui:plcsetup, 值: 60, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj2_yiliudan:actualflow, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj2_shihui:actualflow, 值: 60, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj2_dinghuangyao:actualflow, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj3_ds1:ocssetup, 值: 300, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj3_ds2:ocssetup, 值: 300, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj3_ds1:plcsetup, 值: 300, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj3_ds2:plcsetup, 值: 300, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj3_ds1:actualflow, 值: 300, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj3_ds2:actualflow, 值: 300, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj3_dinghuangyao:ocssetup, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj3_dinghuangyao:plcsetup, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj3_dinghuangyao:actualflow, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj3_shihui:ocssetup, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj3_shihui:plcsetup, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj3_shihui:actualflow, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj3_yiliudan:ocssetup, 值: 0, 时间: 2025-10-16 16:07:49
标签: YJ.yj_qkj3_yiliudan:plcsetup, 值: 0, 时间: 2025-10-16 16:07:49


=== 数据获取时间: 2025-10-16 16:08:42 ===
标签: YJ.yj_qkc_dinghuangyao1:ocssetup, 值: 1500, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkc_dinghuangyao2:ocssetup, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkc_dinghuangyao1:plcsetup, 值: 1500, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkc_dinghuangyao2:plcsetup, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkc_dinghuangyao1:actualflow, 值: 1500, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkc_dinghuangyao2:actualflow, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkc_shihui:ocssetup, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkc_shihui:plcsetup, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkc_shihui:actualflow, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkc_yiliudan1:ocssetup, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkc_yiliudan2:ocssetup, 值: 1800, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj1_dinghuangyao:ocssetup, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj1_dinghuangyao:plcsetup, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj1_dinghuangyao:actualflow, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj1_shihui:ocssetup, 值: 60, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj1_shihui:plcsetup, 值: 60, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj1_shihui:actualflow, 值: 60, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj1_yiliudan:ocssetup, 值: 200, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj1_yiliudan:plcsetup, 值: 200, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj1_yiliudan:actualflow, 值: 200, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj2_yiliudan:ocssetup, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj2_shihui:ocssetup, 值: 60, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj2_yiliudan:plcsetup, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj2_shihui:plcsetup, 值: 60, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj2_yiliudan:actualflow, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj2_shihui:actualflow, 值: 60, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj2_dinghuangyao:actualflow, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj3_ds1:ocssetup, 值: 300, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj3_ds2:ocssetup, 值: 300, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj3_ds1:plcsetup, 值: 300, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj3_ds2:plcsetup, 值: 300, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj3_ds1:actualflow, 值: 300, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj3_ds2:actualflow, 值: 300, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj3_dinghuangyao:ocssetup, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj3_dinghuangyao:plcsetup, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj3_dinghuangyao:actualflow, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj3_shihui:ocssetup, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj3_shihui:plcsetup, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj3_shihui:actualflow, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj3_yiliudan:ocssetup, 值: 0, 时间: 2025-10-16 16:08:49
标签: YJ.yj_qkj3_yiliudan:plcsetup, 值: 0, 时间: 2025-10-16 16:08:49


=== 数据获取时间: 2025-10-16 16:09:42 ===
标签: YJ.yj_qkc_dinghuangyao1:ocssetup, 值: 1500, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkc_dinghuangyao2:ocssetup, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkc_dinghuangyao1:plcsetup, 值: 1500, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkc_dinghuangyao2:plcsetup, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkc_dinghuangyao1:actualflow, 值: 1500, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkc_dinghuangyao2:actualflow, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkc_shihui:ocssetup, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkc_shihui:plcsetup, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkc_shihui:actualflow, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkc_yiliudan1:ocssetup, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkc_yiliudan2:ocssetup, 值: 1800, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj1_dinghuangyao:ocssetup, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj1_dinghuangyao:plcsetup, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj1_dinghuangyao:actualflow, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj1_shihui:ocssetup, 值: 60, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj1_shihui:plcsetup, 值: 60, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj1_shihui:actualflow, 值: 60, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj1_yiliudan:ocssetup, 值: 200, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj1_yiliudan:plcsetup, 值: 200, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj1_yiliudan:actualflow, 值: 200, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj2_yiliudan:ocssetup, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj2_shihui:ocssetup, 值: 60, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj2_yiliudan:plcsetup, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj2_shihui:plcsetup, 值: 60, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj2_yiliudan:actualflow, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj2_shihui:actualflow, 值: 60, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj2_dinghuangyao:actualflow, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj3_ds1:ocssetup, 值: 300, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj3_ds2:ocssetup, 值: 300, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj3_ds1:plcsetup, 值: 300, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj3_ds2:plcsetup, 值: 300, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj3_ds1:actualflow, 值: 300, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj3_ds2:actualflow, 值: 300, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj3_dinghuangyao:ocssetup, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj3_dinghuangyao:plcsetup, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj3_dinghuangyao:actualflow, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj3_shihui:ocssetup, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj3_shihui:plcsetup, 值: 0, 时间: 2025-10-16 16:09:49
标签: YJ.yj_qkj3_shihui:actualflow, 值: 0, 时间: 2025-10-16 16:09:49
